danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name,artist_genre
0.695,0.7,1,-1.587,0,0.0332,0.104,0.0,0.192,0.461,94.959,audio_features,2ikmBwZKZr0ahGcX4x8qtj,spotify:track:2ikmBwZKZr0ahGcX4x8qtj,https://api.spotify.com/v1/tracks/2ikmBwZKZr0ahGcX4x8qtj,https://api.spotify.com/v1/audio-analysis/2ikmBwZKZr0ahGcX4x8qtj,183296,4,Baggage,Bishop Briggs,modern alternative rock
0.593,0.741,4,-4.353,0,0.0359,0.0221,0.0,0.393,0.46,96.978,audio_features,2MxErftY5S07dFtIdxQOSF,spotify:track:2MxErftY5S07dFtIdxQOSF,https://api.spotify.com/v1/tracks/2MxErftY5S07dFtIdxQOSF,https://api.spotify.com/v1/audio-analysis/2MxErftY5S07dFtIdxQOSF,220670,4,Love & War,BAYBE,alt z
0.66,0.765,2,-6.217,1,0.0299,0.125,0.000956,0.235,0.681,123.051,audio_features,19meO0ADnoTjRuBMXZCdbs,spotify:track:19meO0ADnoTjRuBMXZCdbs,https://api.spotify.com/v1/tracks/19meO0ADnoTjRuBMXZCdbs,https://api.spotify.com/v1/audio-analysis/19meO0ADnoTjRuBMXZCdbs,175333,4,Flood Into,Fazerdaze,dreamo
0.577,0.891,0,-4.672,1,0.0359,0.00123,0.0,0.114,0.846,144.989,audio_features,3OPyobYAM5MgTm35AJV99O,spotify:track:3OPyobYAM5MgTm35AJV99O,https://api.spotify.com/v1/tracks/3OPyobYAM5MgTm35AJV99O,https://api.spotify.com/v1/audio-analysis/3OPyobYAM5MgTm35AJV99O,155707,4,you don't like me like that,Zeph,gen z singer-songwriter
0.531,0.693,6,-5.203,0,0.0374,0.00931,2.98e-06,0.119,0.555,157.96,audio_features,4nDfJDZaUVtwOSnGROb2GN,spotify:track:4nDfJDZaUVtwOSnGROb2GN,https://api.spotify.com/v1/tracks/4nDfJDZaUVtwOSnGROb2GN,https://api.spotify.com/v1/audio-analysis/4nDfJDZaUVtwOSnGROb2GN,164453,4,Falling for the Sky,Kailee Morgue,alt z
0.542,0.906,2,-5.592,1,0.0805,0.0793,0.0058,0.403,0.474,89.988,audio_features,1mj4y7NHlTq6YfTZOeNqOx,spotify:track:1mj4y7NHlTq6YfTZOeNqOx,https://api.spotify.com/v1/tracks/1mj4y7NHlTq6YfTZOeNqOx,https://api.spotify.com/v1/audio-analysis/1mj4y7NHlTq6YfTZOeNqOx,93251,4,Tornillo,Margaritas Podridas,nu gaze
0.581,0.851,5,-3.395,1,0.0395,0.126,0.0,0.323,0.638,138.009,audio_features,3xeyZGEEVW8SZPmteR9Fw6,spotify:track:3xeyZGEEVW8SZPmteR9Fw6,https://api.spotify.com/v1/tracks/3xeyZGEEVW8SZPmteR9Fw6,https://api.spotify.com/v1/audio-analysis/3xeyZGEEVW8SZPmteR9Fw6,195227,4,Love Goes On,Kelsy Karter & The Heroines,alt z
0.507,0.92,6,-4.342,1,0.139,0.00107,0.00298,0.475,0.645,173.101,audio_features,7hgIaQykdol1sWnj1uqBup,spotify:track:7hgIaQykdol1sWnj1uqBup,https://api.spotify.com/v1/tracks/7hgIaQykdol1sWnj1uqBup,https://api.spotify.com/v1/audio-analysis/7hgIaQykdol1sWnj1uqBup,198124,4,CULT CLASSIC,Holy Wars,dark pop
0.625,0.972,11,-5.382,1,0.174,0.00679,0.379,0.147,0.282,159.989,audio_features,7F7G8FuCtggmPvs51E9fmN,spotify:track:7F7G8FuCtggmPvs51E9fmN,https://api.spotify.com/v1/tracks/7F7G8FuCtggmPvs51E9fmN,https://api.spotify.com/v1/audio-analysis/7F7G8FuCtggmPvs51E9fmN,185437,4,Move It,POLTERGST,hypertechno
0.85,0.935,11,-7.482,0,0.304,0.00463,0.17,0.095,0.273,150.008,audio_features,2AYPS3qOaAoVzHisTfR4L2,spotify:track:2AYPS3qOaAoVzHisTfR4L2,https://api.spotify.com/v1/tracks/2AYPS3qOaAoVzHisTfR4L2,https://api.spotify.com/v1/audio-analysis/2AYPS3qOaAoVzHisTfR4L2,276268,4,DISTORTED,OGUZ,techno rave
