,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song name,artist,cluster
0,1.3121999163405742,-0.5912140721313457,-1.1845088108472268,1.467219836193443,-1.1974399500026855,-0.7767719603912471,0.07837097554787538,-0.4365741498504249,-0.19548389680096273,0.22107988324327113,-1.1366074990718564,Baggage,Bishop Briggs,5
1,0.6562602616948666,-0.3691956627483987,-0.33292133547907204,0.4748752756808385,-1.1974399500026855,-0.7421904973259909,-0.3297433709214529,-0.4365741498504249,1.0328262901560317,0.21661108797621925,-1.0713225609653911,Love & War,BAYBE,5
2,1.0871225838641065,-0.23923366701203952,-0.9006463190578419,-0.19386306878607928,0.8351149466808395,-0.8190381930265602,0.1830156797707801,-0.43294479871484076,0.06728892926446381,1.2042148419946808,-0.22824470497238825,Flood Into,Fazerdaze,19
3,0.553367766848481,0.4430668106038456,-1.4683713026366116,0.36042917488419324,0.8351149466808395,-0.7421904973259909,-0.43374027459440634,-0.4365741498504249,-0.6721415812917366,1.9415660610582375,0.4811267522735941,you don't like me like that,Zeph,19
4,0.25755184416512295,-0.629119654221117,0.23480364809969773,0.16992485036062363,-1.1974399500026855,-0.7229785734008485,-0.39347697887435534,-0.4365628366010692,-0.6415866015166871,0.6411466383461463,0.9005477191774885,Falling for the Sky,Kailee Morgue,10
5,0.3282904343720131,0.5242930579390701,-0.9006463190578419,0.03036518512584327,0.8351149466808395,-0.17095595928509208,-0.044711128942874434,-0.4145550739232407,1.093936249706131,0.2791742217149451,-1.2973461951229905,Tornillo,Margaritas Podridas,31
6,0.5790908905600773,0.2264634843765803,-0.04905884368968716,0.8185723432770333,0.8351149466808395,-0.6960818799056493,0.18799876092425175,-0.4365741498504249,0.605056573305337,1.0120566455114506,0.25542647095456,Love Goes On,Kelsy Karter & The Heroines,19
7,0.10321310189554452,0.6001042221186129,0.23480364809969773,0.4788216929496884,0.8351149466808395,0.5783090737954591,-0.4345375675789618,-0.42526090049473375,1.533927958466845,1.0433382123808137,1.3901362520501939,CULT CLASSIC,Holy Wars,32
8,0.8620452513876379,0.8816885462140572,1.6541161070466222,0.10570587844024924,0.8351149466808395,1.0265872987154467,-0.4060343433811039,1.0022585702190236,-0.4704787147764093,-0.5788344695590123,0.9661560101225198,Move It,POLTERGST,32
9,2.3089709601649346,0.6813304694538375,1.6541161070466222,-0.6477010547038108,-1.1974399500026855,2.691620705561116,-0.4167977986726027,0.20881255836014578,-0.7882505044369251,-0.6190536269624788,0.6434175419498448,DISTORTED,OGUZ,0
10,0.3797366817952059,0.9520846272379184,-0.33292133547907204,-0.20570232059262894,-1.1974399500026855,-0.01982215774063915,-0.43835959082367454,0.49354198845304453,0.7272764924055356,0.42664446552765667,0.9672230744897871,I'm A Mess,Stoltenhoff,34
11,0.5083523003531872,0.6813304694538375,-1.1845088108472268,-0.6688682018730963,0.8351149466808395,-0.4975586660125118,-0.3581469334962413,2.566372239529348,-0.6965855651117763,-0.6860855559682568,0.38350653031053344,Computers Take Over The World - Maddix Remix,Armin van Buuren,15
12,0.3925982436510041,0.9954052924833715,1.3702536152572373,-0.8191908232956491,-1.1974399500026855,-0.502681845725883,2.0018403007879333,2.619521733146689,-0.6721415812917366,-1.1463714684745987,0.15842061938477486,Raise Yourself,Richard Durand,20
13,1.0163839936572163,0.7463114673220165,0.5186661398890826,0.40096964319146866,0.8351149466808395,-0.3348977101129734,-0.3581469334962413,3.056106859289134,0.6356115530803867,0.36855012705598245,0.0934266988330191,Aktivate - Radio Edit,UMEK,20
14,1.9166933235630899,0.9466695440822368,-1.1845088108472268,0.32814030632087643,0.8351149466808395,-0.5257361544360539,-0.4243222512143449,2.790359391202428,-0.6049206257866275,0.4400508513288123,0.061253091395706886,Time,Space 92,15
15,1.4408155348985563,0.4214064779811191,-0.04905884368968716,0.5807110115272659,0.8351149466808395,0.9369316537314494,-0.42407309715667124,1.9931169869423115,-0.17715090893593294,-1.0346515867983022,0.22364088692352788,Ready,Calvin Logue,15
16,-0.03183329759033664,-1.0569112235199654,0.5186661398890826,-0.21431268554284677,0.8351149466808395,-0.6461308777002792,-0.4138577807920544,-0.42423587454639927,-0.813305587852466,0.3238621743854638,-0.392443276396178,My Lady of Mercy,The Last Dinner Party,26
17,-0.12186423058092406,0.3131048148674864,-1.1845088108472268,0.9032409319541753,-1.1974399500026855,-0.6781507509088498,-0.40847605314630503,-0.4365568383010753,0.6233895611703668,1.7002511166374374,0.8370412216831359,Blame Brett,The Beaches,34
18,0.4183213673626005,0.0802562391731762,-1.4683713026366116,0.6739899651546256,0.8351149466808395,-0.8472156814501023,-0.4397334262976867,-0.43656564593144614,3.3733377409248315,0.6053962762097314,-0.6998548200208273,I Used To Be Fun,Teen Jesus and the Jean Teasers,33
19,0.46976761478579265,0.5459533905617966,-0.33292133547907204,-0.42203773996685173,-1.1974399500026855,0.018601690109645557,-0.43882301737094737,-0.43648607354671615,0.9411613508308827,1.449998581682533,0.8999656840680699,The News,Paramore,34
20,-0.057556421301933045,0.6813304694538375,0.5186661398890826,0.6718373739170712,0.8351149466808395,0.9753555015817341,-0.4389077297505564,-0.4364598784391476,-0.5071446905064688,0.3149245838513601,0.5427578033042644,S!CK,The Warning,32
21,2.0646012849047692,-0.5370632405745294,1.6541161070466222,0.18391669340472783,0.8351149466808395,-0.662781211768736,0.09332021900829034,-0.42047744606917303,-0.9043594275821136,2.495696674172668,0.2564612000379714,kinda smacks,Royal & the Serpent,18
