danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.755,0.514,11,-6.942,0,0.173,0.083,0.0,0.128,0.553,133.1,audio_features,7sg9kDT8H2P0wPACXnWRdN,spotify:track:7sg9kDT8H2P0wPACXnWRdN,https://api.spotify.com/v1/tracks/7sg9kDT8H2P0wPACXnWRdN,https://api.spotify.com/v1/audio-analysis/7sg9kDT8H2P0wPACXnWRdN,168920,4
0.495,0.7,0,-7.674,1,0.0356,0.0352,1.22e-05,0.696,0.23,122.884,audio_features,0BnepvoveEw7fJIpuwdLT4,spotify:track:0BnepvoveEw7fJIpuwdLT4,https://api.spotify.com/v1/tracks/0BnepvoveEw7fJIpuwdLT4,https://api.spotify.com/v1/audio-analysis/0BnepvoveEw7fJIpuwdLT4,279240,4
0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439,audio_features,2PljnVsnl2PRwCvfhbdQup,spotify:track:2PljnVsnl2PRwCvfhbdQup,https://api.spotify.com/v1/tracks/2PljnVsnl2PRwCvfhbdQup,https://api.spotify.com/v1/audio-analysis/2PljnVsnl2PRwCvfhbdQup,163765,4
0.415,0.748,4,-5.008,1,0.0481,0.00305,0.0,0.0903,0.154,120.056,audio_features,4ltqfN12ohaVZdM6C45gMg,spotify:track:4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/tracks/4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/audio-analysis/4ltqfN12ohaVZdM6C45gMg,258419,4
0.534,0.552,1,-10.467,0,0.0333,0.15,0.923,0.0842,0.966,150.711,audio_features,7vrUr4ik4xw8ukdGdQ1v9Q,spotify:track:7vrUr4ik4xw8ukdGdQ1v9Q,https://api.spotify.com/v1/tracks/7vrUr4ik4xw8ukdGdQ1v9Q,https://api.spotify.com/v1/audio-analysis/7vrUr4ik4xw8ukdGdQ1v9Q,192938,4
0.447,0.531,8,-5.281,1,0.0299,0.845,0.000477,0.13,0.248,119.762,audio_features,0hHOIVyywNzkoh1v6RWFb3,spotify:track:0hHOIVyywNzkoh1v6RWFb3,https://api.spotify.com/v1/tracks/0hHOIVyywNzkoh1v6RWFb3,https://api.spotify.com/v1/audio-analysis/0hHOIVyywNzkoh1v6RWFb3,187587,3
0.814,0.47,7,-5.822,1,0.0795,0.15,0.0669,0.0764,0.594,103.003,audio_features,6VZc5PlI7bLmgCYjODYLnG,spotify:track:6VZc5PlI7bLmgCYjODYLnG,https://api.spotify.com/v1/tracks/6VZc5PlI7bLmgCYjODYLnG,https://api.spotify.com/v1/audio-analysis/6VZc5PlI7bLmgCYjODYLnG,171146,4
0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
0.841,0.879,1,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966,audio_features,2b1MCbfwRZ1teOX1vSm4Xt,spotify:track:2b1MCbfwRZ1teOX1vSm4Xt,https://api.spotify.com/v1/tracks/2b1MCbfwRZ1teOX1vSm4Xt,https://api.spotify.com/v1/audio-analysis/2b1MCbfwRZ1teOX1vSm4Xt,134116,4
0.62,0.396,1,-15.498,0,0.206,0.735,0.000985,0.0976,0.774,87.865,audio_features,3MlQPB0wJuopo3NTZGlMpI,spotify:track:3MlQPB0wJuopo3NTZGlMpI,https://api.spotify.com/v1/tracks/3MlQPB0wJuopo3NTZGlMpI,https://api.spotify.com/v1/audio-analysis/3MlQPB0wJuopo3NTZGlMpI,201027,4
0.617,0.916,10,-5.937,1,0.12,0.0257,0.00036,0.0654,0.246,133.959,audio_features,0UNzzZBuQfZwNJ3mk2PYbm,spotify:track:0UNzzZBuQfZwNJ3mk2PYbm,https://api.spotify.com/v1/tracks/0UNzzZBuQfZwNJ3mk2PYbm,https://api.spotify.com/v1/audio-analysis/0UNzzZBuQfZwNJ3mk2PYbm,245821,4
0.722,0.467,5,-7.519,0,0.077,0.0537,0.000557,0.122,0.68,74.968,audio_features,50wpwXmMyYWMEhuATNxLEt,spotify:track:50wpwXmMyYWMEhuATNxLEt,https://api.spotify.com/v1/tracks/50wpwXmMyYWMEhuATNxLEt,https://api.spotify.com/v1/audio-analysis/50wpwXmMyYWMEhuATNxLEt,244139,4
0.154,0.00458,0,-28.608,1,0.0448,0.959,0.952,0.108,0.0918,75.517,audio_features,0KgSqUAo5E2DZ0xGA2IvnL,spotify:track:0KgSqUAo5E2DZ0xGA2IvnL,https://api.spotify.com/v1/tracks/0KgSqUAo5E2DZ0xGA2IvnL,https://api.spotify.com/v1/audio-analysis/0KgSqUAo5E2DZ0xGA2IvnL,402040,5
0.623,0.318,0,-13.533,1,0.0322,0.691,0.908,0.107,0.286,143.934,audio_features,5762u0ONzL6KciLE25E4ET,spotify:track:5762u0ONzL6KciLE25E4ET,https://api.spotify.com/v1/tracks/5762u0ONzL6KciLE25E4ET,https://api.spotify.com/v1/audio-analysis/5762u0ONzL6KciLE25E4ET,165969,4
