danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.472,0.867,1,-3.159,0,0.0409,0.0063,4.56e-06,0.326,0.792,155.996,audio_features,6twjuBZfRJIZnoHrghzWLk,spotify:track:6twjuBZfRJIZnoHrghzWLk,https://api.spotify.com/v1/tracks/6twjuBZfRJIZnoHrghzWLk,https://api.spotify.com/v1/audio-analysis/6twjuBZfRJIZnoHrghzWLk,177004,4
0.556,0.824,0,-3.798,1,0.0277,2.73e-05,2.24e-06,0.776,0.547,108.466,audio_features,3cn3g1pvplVckm1vWtDMVf,spotify:track:3cn3g1pvplVckm1vWtDMVf,https://api.spotify.com/v1/tracks/3cn3g1pvplVckm1vWtDMVf,https://api.spotify.com/v1/audio-analysis/3cn3g1pvplVckm1vWtDMVf,161445,4
0.564,0.91,4,-6.853,0,0.0953,0.00021,2.32e-05,0.378,0.736,157.942,audio_features,59RjIhWIpthNpwrlChUvXm,spotify:track:59RjIhWIpthNpwrlChUvXm,https://api.spotify.com/v1/tracks/59RjIhWIpthNpwrlChUvXm,https://api.spotify.com/v1/audio-analysis/59RjIhWIpthNpwrlChUvXm,187697,4
0.482,0.935,7,-3.804,1,0.17,0.000193,3.01e-05,0.141,0.482,146.895,audio_features,5ofXHXnmlZ4zqFWCo6oGOB,spotify:track:5ofXHXnmlZ4zqFWCo6oGOB,https://api.spotify.com/v1/tracks/5ofXHXnmlZ4zqFWCo6oGOB,https://api.spotify.com/v1/audio-analysis/5ofXHXnmlZ4zqFWCo6oGOB,192735,4
0.812,0.71,11,-5.164,1,0.0421,0.107,0.00424,0.076,0.97,138.041,audio_features,4cwi0Yd3pq1GfvHj7FLMdn,spotify:track:4cwi0Yd3pq1GfvHj7FLMdn,https://api.spotify.com/v1/tracks/4cwi0Yd3pq1GfvHj7FLMdn,https://api.spotify.com/v1/audio-analysis/4cwi0Yd3pq1GfvHj7FLMdn,136602,4
0.706,0.879,9,-4.058,1,0.0396,0.00404,0.0829,0.0526,0.554,99.98,audio_features,4Ne4UbfqgXcBdIsYHjvR6y,spotify:track:4Ne4UbfqgXcBdIsYHjvR6y,https://api.spotify.com/v1/tracks/4Ne4UbfqgXcBdIsYHjvR6y,https://api.spotify.com/v1/audio-analysis/4Ne4UbfqgXcBdIsYHjvR6y,175960,4
0.361,0.964,8,-4.59,0,0.173,0.000479,0.00199,0.137,0.216,151.879,audio_features,4hvCxgioUiT85MCgfIhDP3,spotify:track:4hvCxgioUiT85MCgfIhDP3,https://api.spotify.com/v1/tracks/4hvCxgioUiT85MCgfIhDP3,https://api.spotify.com/v1/audio-analysis/4hvCxgioUiT85MCgfIhDP3,281053,4
0.532,0.833,9,-3.22,0,0.0421,0.0205,0.0,0.0996,0.51,102.019,audio_features,0q1EgphEnjNphQaiG1wHnw,spotify:track:0q1EgphEnjNphQaiG1wHnw,https://api.spotify.com/v1/tracks/0q1EgphEnjNphQaiG1wHnw,https://api.spotify.com/v1/audio-analysis/0q1EgphEnjNphQaiG1wHnw,207008,4
0.63,0.763,2,-4.89,1,0.0892,0.0393,0.0,0.7,0.295,162.152,audio_features,38RLObegC9ggpKPRVQDc1g,spotify:track:38RLObegC9ggpKPRVQDc1g,https://api.spotify.com/v1/tracks/38RLObegC9ggpKPRVQDc1g,https://api.spotify.com/v1/audio-analysis/38RLObegC9ggpKPRVQDc1g,149391,4
0.433,0.884,1,-6.492,0,0.0655,0.00778,0.774,0.221,0.228,136.009,audio_features,1seLWPX7HzMY1FZ4lrGXuD,spotify:track:1seLWPX7HzMY1FZ4lrGXuD,https://api.spotify.com/v1/tracks/1seLWPX7HzMY1FZ4lrGXuD,https://api.spotify.com/v1/audio-analysis/1seLWPX7HzMY1FZ4lrGXuD,218284,4
0.569,0.792,1,-4.283,0,0.057,0.062,0.0,0.176,0.702,75.533,audio_features,2VOtwqdoceXN37vDafReh5,spotify:track:2VOtwqdoceXN37vDafReh5,https://api.spotify.com/v1/tracks/2VOtwqdoceXN37vDafReh5,https://api.spotify.com/v1/audio-analysis/2VOtwqdoceXN37vDafReh5,205432,4
0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,audio_features,536ZTi6wWJQ2gYXkXnJwVX,spotify:track:536ZTi6wWJQ2gYXkXnJwVX,https://api.spotify.com/v1/tracks/536ZTi6wWJQ2gYXkXnJwVX,https://api.spotify.com/v1/audio-analysis/536ZTi6wWJQ2gYXkXnJwVX,187596,4
0.422,0.726,0,-4.996,1,0.0408,2.86e-05,0.000541,0.554,0.328,120.057,audio_features,5zfSxKmqBSKTaZjVkvPkmA,spotify:track:5zfSxKmqBSKTaZjVkvPkmA,https://api.spotify.com/v1/tracks/5zfSxKmqBSKTaZjVkvPkmA,https://api.spotify.com/v1/audio-analysis/5zfSxKmqBSKTaZjVkvPkmA,156195,4
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,audio_features,1upVvXlWQUwAPuLN3oh8lk,spotify:track:1upVvXlWQUwAPuLN3oh8lk,https://api.spotify.com/v1/tracks/1upVvXlWQUwAPuLN3oh8lk,https://api.spotify.com/v1/audio-analysis/1upVvXlWQUwAPuLN3oh8lk,158293,4
0.655,0.905,3,-4.749,0,0.075,0.061,0.00963,0.0992,0.632,101.991,audio_features,5iQrF3TEjpz2tBZed7Qy9N,spotify:track:5iQrF3TEjpz2tBZed7Qy9N,https://api.spotify.com/v1/tracks/5iQrF3TEjpz2tBZed7Qy9N,https://api.spotify.com/v1/audio-analysis/5iQrF3TEjpz2tBZed7Qy9N,163737,4
0.56,0.798,7,-5.197,1,0.0357,0.00794,0.793,0.0907,0.271,112.016,audio_features,4wHo9RDSY0elxbeiMpYNLN,spotify:track:4wHo9RDSY0elxbeiMpYNLN,https://api.spotify.com/v1/tracks/4wHo9RDSY0elxbeiMpYNLN,https://api.spotify.com/v1/audio-analysis/4wHo9RDSY0elxbeiMpYNLN,274348,4
0.679,0.846,1,-4.44,0,0.0524,0.0488,1.78e-05,0.154,0.567,140.045,audio_features,1uMo2HFIfKc3NJVl73L1zj,spotify:track:1uMo2HFIfKc3NJVl73L1zj,https://api.spotify.com/v1/tracks/1uMo2HFIfKc3NJVl73L1zj,https://api.spotify.com/v1/audio-analysis/1uMo2HFIfKc3NJVl73L1zj,230160,4
0.442,0.83,6,-12.976,1,0.0376,0.00079,2.46e-05,0.0887,0.538,154.029,audio_features,5qMq8ITRVuTwqd2pDL0gff,spotify:track:5qMq8ITRVuTwqd2pDL0gff,https://api.spotify.com/v1/tracks/5qMq8ITRVuTwqd2pDL0gff,https://api.spotify.com/v1/audio-analysis/5qMq8ITRVuTwqd2pDL0gff,162078,4
0.598,0.584,4,-4.224,0,0.0553,0.0101,0.0,0.195,0.619,159.956,audio_features,6XFtHhrlPKL4qEVDVMOcd6,spotify:track:6XFtHhrlPKL4qEVDVMOcd6,https://api.spotify.com/v1/tracks/6XFtHhrlPKL4qEVDVMOcd6,https://api.spotify.com/v1/audio-analysis/6XFtHhrlPKL4qEVDVMOcd6,158840,4
0.496,0.946,1,-6.331,1,0.0708,0.00193,0.0232,0.0658,0.327,86.993,audio_features,2hVbai5ZN5yykTbSteAPKy,spotify:track:2hVbai5ZN5yykTbSteAPKy,https://api.spotify.com/v1/tracks/2hVbai5ZN5yykTbSteAPKy,https://api.spotify.com/v1/audio-analysis/2hVbai5ZN5yykTbSteAPKy,207600,4
0.512,0.634,7,-12.504,0,0.0624,7.27e-05,3.12e-06,0.34,0.621,156.055,audio_features,3bfElZNhtvtGvWMVgCBgZK,spotify:track:3bfElZNhtvtGvWMVgCBgZK,https://api.spotify.com/v1/tracks/3bfElZNhtvtGvWMVgCBgZK,https://api.spotify.com/v1/audio-analysis/3bfElZNhtvtGvWMVgCBgZK,206731,4
0.801,0.713,9,-4.973,0,0.0346,0.197,0.00276,0.146,0.742,126.014,audio_features,4ZwV2vVR5vUEOKHQwFJe8T,spotify:track:4ZwV2vVR5vUEOKHQwFJe8T,https://api.spotify.com/v1/tracks/4ZwV2vVR5vUEOKHQwFJe8T,https://api.spotify.com/v1/audio-analysis/4ZwV2vVR5vUEOKHQwFJe8T,177081,4
0.563,0.701,3,-6.378,0,0.0285,0.00736,0.721,0.103,0.511,117.048,audio_features,1kiw6IXeTauPy3L964yxoZ,spotify:track:1kiw6IXeTauPy3L964yxoZ,https://api.spotify.com/v1/tracks/1kiw6IXeTauPy3L964yxoZ,https://api.spotify.com/v1/audio-analysis/1kiw6IXeTauPy3L964yxoZ,199220,4
0.256,0.883,0,-5.93,0,0.0575,0.0154,1.74e-05,0.188,0.0919,97.04,audio_features,6dle7FaD5ZRhbHHk6zZsWX,spotify:track:6dle7FaD5ZRhbHHk6zZsWX,https://api.spotify.com/v1/tracks/6dle7FaD5ZRhbHHk6zZsWX,https://api.spotify.com/v1/audio-analysis/6dle7FaD5ZRhbHHk6zZsWX,263432,3
0.746,0.794,11,-3.621,0,0.0544,0.00674,0.000341,0.0197,0.577,114.012,audio_features,340KzsVkQVS4W3u8VizsBr,spotify:track:340KzsVkQVS4W3u8VizsBr,https://api.spotify.com/v1/tracks/340KzsVkQVS4W3u8VizsBr,https://api.spotify.com/v1/audio-analysis/340KzsVkQVS4W3u8VizsBr,255254,4
0.513,0.916,4,-3.191,0,0.0987,0.00219,0.00113,0.338,0.474,96.095,audio_features,6KZS7UyCY1akaJGAp64Akl,spotify:track:6KZS7UyCY1akaJGAp64Akl,https://api.spotify.com/v1/tracks/6KZS7UyCY1akaJGAp64Akl,https://api.spotify.com/v1/audio-analysis/6KZS7UyCY1akaJGAp64Akl,158081,4
0.35,0.815,7,-5.166,0,0.035,0.00144,0.78,0.334,0.45,169.849,audio_features,10fl9iLpPKi4WVJh59hZ8c,spotify:track:10fl9iLpPKi4WVJh59hZ8c,https://api.spotify.com/v1/tracks/10fl9iLpPKi4WVJh59hZ8c,https://api.spotify.com/v1/audio-analysis/10fl9iLpPKi4WVJh59hZ8c,220650,4
0.652,0.691,1,-4.386,1,0.0299,0.422,0.0,0.214,0.36,99.93,audio_features,4gBuBzYl2X0j38iKbo02Rl,spotify:track:4gBuBzYl2X0j38iKbo02Rl,https://api.spotify.com/v1/tracks/4gBuBzYl2X0j38iKbo02Rl,https://api.spotify.com/v1/audio-analysis/4gBuBzYl2X0j38iKbo02Rl,169066,4
0.446,0.878,1,-5.826,1,0.0523,0.00371,0.00114,0.231,0.682,181.968,audio_features,5Dp8m5EWFkNc3TbCSxKSzu,spotify:track:5Dp8m5EWFkNc3TbCSxKSzu,https://api.spotify.com/v1/tracks/5Dp8m5EWFkNc3TbCSxKSzu,https://api.spotify.com/v1/audio-analysis/5Dp8m5EWFkNc3TbCSxKSzu,221000,4
0.587,0.798,2,-5.109,1,0.037,0.0329,0.000134,0.184,0.6,101.161,audio_features,3p84R45PM75ngq8XRoe45o,spotify:track:3p84R45PM75ngq8XRoe45o,https://api.spotify.com/v1/tracks/3p84R45PM75ngq8XRoe45o,https://api.spotify.com/v1/audio-analysis/3p84R45PM75ngq8XRoe45o,181750,4
0.51,0.824,11,-6.322,1,0.0701,0.0303,0.0094,0.0813,0.786,159.946,audio_features,59gcuFEGvp32erxYFekyG4,spotify:track:59gcuFEGvp32erxYFekyG4,https://api.spotify.com/v1/tracks/59gcuFEGvp32erxYFekyG4,https://api.spotify.com/v1/audio-analysis/59gcuFEGvp32erxYFekyG4,163026,4
0.314,0.83,2,-3.83,1,0.0435,0.000731,0.0,0.374,0.194,73.191,audio_features,1nx0EzitUaNF08xrQunABp,spotify:track:1nx0EzitUaNF08xrQunABp,https://api.spotify.com/v1/tracks/1nx0EzitUaNF08xrQunABp,https://api.spotify.com/v1/audio-analysis/1nx0EzitUaNF08xrQunABp,217327,4
0.566,0.843,4,-5.82,0,0.0795,0.0222,0.000313,0.431,0.446,89.991,audio_features,7oj0HfhX4PY8zmUR4kBxfe,spotify:track:7oj0HfhX4PY8zmUR4kBxfe,https://api.spotify.com/v1/tracks/7oj0HfhX4PY8zmUR4kBxfe,https://api.spotify.com/v1/audio-analysis/7oj0HfhX4PY8zmUR4kBxfe,253745,4
0.399,0.822,1,-6.458,0,0.0467,0.0464,0.000159,0.132,0.239,159.949,audio_features,0adKvhR28ImyPl8yKC5oKO,spotify:track:0adKvhR28ImyPl8yKC5oKO,https://api.spotify.com/v1/tracks/0adKvhR28ImyPl8yKC5oKO,https://api.spotify.com/v1/audio-analysis/0adKvhR28ImyPl8yKC5oKO,159200,4
0.666,0.91,8,-3.853,1,0.0395,0.00243,0.0261,0.321,0.927,127.956,audio_features,2ma25BxbSTq90j64a0SP60,spotify:track:2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/tracks/2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/audio-analysis/2ma25BxbSTq90j64a0SP60,146250,4
0.4,0.984,1,-1.968,0,0.0652,5.1e-05,0.0947,0.402,0.436,75.928,audio_features,1hf9bnNxtokh6t6pT8pnva,spotify:track:1hf9bnNxtokh6t6pT8pnva,https://api.spotify.com/v1/tracks/1hf9bnNxtokh6t6pT8pnva,https://api.spotify.com/v1/audio-analysis/1hf9bnNxtokh6t6pT8pnva,127384,4
0.538,0.673,0,-4.138,1,0.0319,0.0132,1.78e-05,0.116,0.389,82.425,audio_features,6gnNNTPxIPjgvGlWw98Bwc,spotify:track:6gnNNTPxIPjgvGlWw98Bwc,https://api.spotify.com/v1/tracks/6gnNNTPxIPjgvGlWw98Bwc,https://api.spotify.com/v1/audio-analysis/6gnNNTPxIPjgvGlWw98Bwc,146080,4
0.578,0.948,11,-5.494,0,0.0851,0.0052,2.72e-05,0.361,0.701,165.911,audio_features,6LjmIxsNRNrAb8uvJktOeL,spotify:track:6LjmIxsNRNrAb8uvJktOeL,https://api.spotify.com/v1/tracks/6LjmIxsNRNrAb8uvJktOeL,https://api.spotify.com/v1/audio-analysis/6LjmIxsNRNrAb8uvJktOeL,149106,4
0.333,0.674,7,-6.526,0,0.0558,0.129,0.000533,0.127,0.175,125.743,audio_features,11wMfHsceksu8GAIugQMA9,spotify:track:11wMfHsceksu8GAIugQMA9,https://api.spotify.com/v1/tracks/11wMfHsceksu8GAIugQMA9,https://api.spotify.com/v1/audio-analysis/11wMfHsceksu8GAIugQMA9,246909,4
0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579,audio_features,0wQKKPy050lguUxlKvHIi5,spotify:track:0wQKKPy050lguUxlKvHIi5,https://api.spotify.com/v1/tracks/0wQKKPy050lguUxlKvHIi5,https://api.spotify.com/v1/audio-analysis/0wQKKPy050lguUxlKvHIi5,196800,4
0.539,0.977,6,-2.556,0,0.218,0.000431,0.0,0.356,0.48,122.046,audio_features,0rlcL9H8ZJUEDQ3N0tmTZf,spotify:track:0rlcL9H8ZJUEDQ3N0tmTZf,https://api.spotify.com/v1/tracks/0rlcL9H8ZJUEDQ3N0tmTZf,https://api.spotify.com/v1/audio-analysis/0rlcL9H8ZJUEDQ3N0tmTZf,212459,4
0.5,0.494,9,-7.717,1,0.0301,0.0385,0.000815,0.129,0.274,83.088,audio_features,30eZI7pnpdWKgk1UmUAxoF,spotify:track:30eZI7pnpdWKgk1UmUAxoF,https://api.spotify.com/v1/tracks/30eZI7pnpdWKgk1UmUAxoF,https://api.spotify.com/v1/audio-analysis/30eZI7pnpdWKgk1UmUAxoF,164819,4
